Certification Course,Gender,Department,Height(CM),Weight(KG),10th Mark,12th Mark,college mark,hobbies,daily studing time,prefer to study in,salary expectation,Do you like your degree?,career_willing,social medai & video,Travelling Time,Stress Level,Financial Status,part-time job
No,Male,Mechanical,159,72,93,50,78,Sports,>4 hrs,Evening,3-5 LPA,Yes,50%,>5 hrs,30-60 min,High,Poor,Yes
Yes,Male,CS,184,51,75,65,89,Sports,1-2 hrs,Morning,3-5 LPA,Yes,100%,>5 hrs,30-60 min,Low,Good,No
Yes,Male,IT,161,50,86,60,75,Gaming,1-2 hrs,Morning,3-5 LPA,No,75%,<1 hr,30-60 min,Low,Middle,Yes
No,Male,Mechanical,165,84,69,56,82,Music,1-2 hrs,Night,3-5 LPA,No,25%,<1 hr,>2 hrs,High,Good,No
Yes,Male,IT,159,74,74,72,73,Music,>4 hrs,Night,3-5 LPA,Yes,25%,3-5 hrs,<30 min,Low,Middle,No
Yes,Male,CS,181,59,58,74,83,Travelling,>4 hrs,Morning,3-5 LPA,No,100%,1-3 hrs,<30 min,High,Good,No
Yes,Male,IT,163,69,74,94,64,Travelling,2-4 hrs,Night,3-5 LPA,Yes,75%,<1 hr,1-2 hrs,Medium,Middle,Yes
Yes,Female,CS,170,62,80,62,73,Gaming,<1 hr,Morning,5-8 LPA,Yes,50%,3-5 hrs,30-60 min,Low,Middle,No
Yes,Female,Civil,157,71,57,94,77,Reading,2-4 hrs,Night,5-8 LPA,Yes,50%,<1 hr,<30 min,Medium,Poor,Yes
No,Male,Mechanical,165,61,67,50,68,Sports,1-2 hrs,Night,>8 LPA,Yes,25%,3-5 hrs,<30 min,Low,Good,Yes
No,Male,ENTC,164,76,68,53,72,Music,<1 hr,Morning,<3 LPA,Yes,50%,>5 hrs,1-2 hrs,Medium,Middle,Yes
No,Male,CS,179,68,81,81,73,Music,2-4 hrs,Night,>8 LPA,Yes,100%,3-5 hrs,<30 min,Medium,Good,No
Yes,Male,CS,189,77,77,71,75,Gaming,1-2 hrs,Night,3-5 LPA,Yes,75%,<1 hr,>2 hrs,Medium,Middle,Yes
Yes,Male,CS,189,58,64,60,70,Reading,2-4 hrs,Evening,5-8 LPA,Yes,25%,1-3 hrs,<30 min,High,Good,Yes
Yes,Male,Mechanical,177,59,71,66,62,Travelling,1-2 hrs,Morning,3-5 LPA,Yes,75%,>5 hrs,30-60 min,Medium,Middle,Yes
Yes,Female,Civil,180,63,69,78,75,Music,2-4 hrs,Morning,3-5 LPA,Yes,50%,<1 hr,<30 min,Low,Middle,No
Yes,Female,CS,150,84,72,68,77,Gaming,2-4 hrs,Morning,5-8 LPA,Yes,75%,<1 hr,<30 min,High,Good,No
Yes,Male,CS,177,69,91,86,77,Travelling,2-4 hrs,Evening,<3 LPA,Yes,75%,1-3 hrs,>2 hrs,Medium,Good,Yes
No,Male,Mechanical,180,66,63,87,64,Travelling,2-4 hrs,Night,5-8 LPA,Yes,100%,>5 hrs,<30 min,High,Good,Yes
Yes,Male,Mechanical,179,69,83,90,74,Reading,<1 hr,Night,<3 LPA,Yes,75%,3-5 hrs,1-2 hrs,Medium,Middle,No
Yes,Male,IT,167,79,61,50,74,Sports,2-4 hrs,Evening,3-5 LPA,Yes,100%,<1 hr,30-60 min,Low,Poor,No
Yes,Female,CS,158,65,55,70,71,Music,1-2 hrs,Morning,3-5 LPA,No,75%,1-3 hrs,30-60 min,Low,Middle,No
No,Female,CS,170,61,72,50,70,Travelling,2-4 hrs,Night,3-5 LPA,Yes,75%,1-3 hrs,30-60 min,High,Middle,Yes
Yes,Male,CS,170,59,73,71,77,Sports,1-2 hrs,Evening,5-8 LPA,Yes,50%,3-5 hrs,30-60 min,High,Middle,No
Yes,Male,ENTC,173,73,83,81,78,Reading,1-2 hrs,Evening,3-5 LPA,Yes,100%,<1 hr,1-2 hrs,Medium,Good,No
No,Female,CS,175,76,85,74,73,Travelling,1-2 hrs,Night,<3 LPA,No,25%,3-5 hrs,1-2 hrs,Medium,Good,Yes
Yes,Male,ENTC,166,58,55,80,61,Music,1-2 hrs,Morning,3-5 LPA,Yes,25%,3-5 hrs,<30 min,Low,Poor,No
No,Male,Mechanical,180,67,69,68,68,Travelling,2-4 hrs,Night,<3 LPA,Yes,100%,1-3 hrs,<30 min,Medium,Middle,No
Yes,Male,ENTC,164,51,76,69,83,Reading,<1 hr,Evening,3-5 LPA,Yes,75%,3-5 hrs,<30 min,Low,Good,No
Yes,Female,Civil,171,71,72,88,79,Sports,>4 hrs,Morning,<3 LPA,Yes,50%,1-3 hrs,<30 min,Low,Middle,No
Yes,Female,CS,184,70,80,81,76,Sports,>4 hrs,Evening,<3 LPA,Yes,75%,<1 hr,<30 min,Medium,Poor,Yes
No,Male,IT,184,78,90,70,69,Music,<1 hr,Night,3-5 LPA,Yes,100%,1-3 hrs,<30 min,High,Middle,No
No,Male,Mechanical,153,61,72,59,87,Gaming,1-2 hrs,Night,<3 LPA,Yes,75%,1-3 hrs,<30 min,Medium,Middle,No
Yes,Male,Civil,178,75,82,66,62,Gaming,<1 hr,Morning,3-5 LPA,Yes,75%,1-3 hrs,30-60 min,Medium,Good,Yes
Yes,Male,IT,152,76,89,63,62,Sports,<1 hr,Morning,3-5 LPA,Yes,75%,>5 hrs,>2 hrs,Medium,Middle,Yes
No,Male,CS,152,69,59,65,85,Sports,1-2 hrs,Morning,5-8 LPA,Yes,50%,3-5 hrs,<30 min,High,Good,No
Yes,Female,Civil,163,75,86,69,76,Travelling,<1 hr,Morning,3-5 LPA,Yes,25%,1-3 hrs,30-60 min,Low,Good,No
No,Female,CS,163,66,84,84,78,Music,1-2 hrs,Night,3-5 LPA,Yes,25%,<1 hr,<30 min,High,Middle,Yes
Yes,Female,Mechanical,161,71,90,56,72,Travelling,1-2 hrs,Evening,<3 LPA,Yes,75%,3-5 hrs,>2 hrs,Low,Middle,Yes
Yes,Male,CS,150,67,79,70,65,Travelling,2-4 hrs,Evening,>8 LPA,No,25%,1-3 hrs,>2 hrs,Low,Middle,No
No,Male,CS,171,74,78,67,72,Reading,1-2 hrs,Night,>8 LPA,Yes,100%,1-3 hrs,<30 min,High,Poor,No
Yes,Female,Mechanical,176,57,69,56,75,Music,2-4 hrs,Evening,<3 LPA,Yes,25%,1-3 hrs,>2 hrs,Medium,Good,Yes
No,Female,IT,171,55,75,77,75,Gaming,1-2 hrs,Night,3-5 LPA,Yes,75%,1-3 hrs,30-60 min,Medium,Middle,Yes
Yes,Female,CS,167,84,94,88,78,Reading,2-4 hrs,Evening,3-5 LPA,No,75%,3-5 hrs,30-60 min,Medium,Good,Yes
Yes,Female,CS,163,87,79,60,89,Travelling,2-4 hrs,Morning,3-5 LPA,Yes,75%,1-3 hrs,30-60 min,Low,Middle,No
Yes,Male,Mechanical,150,61,85,68,84,Gaming,>4 hrs,Evening,<3 LPA,Yes,50%,3-5 hrs,<30 min,High,Middle,No
Yes,Male,Civil,175,75,88,88,66,Sports,2-4 hrs,Morning,>8 LPA,Yes,50%,1-3 hrs,<30 min,Medium,Good,No
Yes,Male,CS,189,67,59,77,72,Music,1-2 hrs,Evening,5-8 LPA,Yes,25%,3-5 hrs,<30 min,High,Poor,No
Yes,Male,CS,174,64,55,63,74,Travelling,1-2 hrs,Morning,<3 LPA,Yes,50%,1-3 hrs,<30 min,Low,Good,Yes
Yes,Male,CS,150,89,77,75,76,Travelling,<1 hr,Night,3-5 LPA,No,75%,1-3 hrs,30-60 min,Low,Poor,No
Yes,Male,CS,155,63,76,89,60,Reading,<1 hr,Evening,5-8 LPA,No,50%,1-3 hrs,30-60 min,Medium,Middle,No
Yes,Male,CS,163,66,88,71,70,Music,2-4 hrs,Night,3-5 LPA,Yes,50%,1-3 hrs,30-60 min,Low,Middle,No
Yes,Female,CS,164,61,82,73,65,Sports,2-4 hrs,Night,3-5 LPA,Yes,50%,1-3 hrs,1-2 hrs,Medium,Middle,No
No,Male,CS,150,79,68,78,78,Reading,>4 hrs,Morning,<3 LPA,Yes,75%,1-3 hrs,30-60 min,Medium,Middle,No
No,Male,Mechanical,188,79,69,55,60,Sports,2-4 hrs,Night,<3 LPA,Yes,25%,1-3 hrs,<30 min,Medium,Poor,No
Yes,Female,ENTC,150,69,91,64,70,Gaming,1-2 hrs,Evening,<3 LPA,Yes,50%,1-3 hrs,30-60 min,Medium,Poor,Yes
Yes,Female,ENTC,172,62,87,66,73,Gaming,2-4 hrs,Morning,3-5 LPA,Yes,50%,3-5 hrs,<30 min,Low,Good,No
No,Male,IT,153,59,74,88,78,Reading,>4 hrs,Evening,5-8 LPA,No,100%,3-5 hrs,<30 min,Low,Good,Yes
Yes,Male,CS,179,73,71,55,72,Gaming,>4 hrs,Night,5-8 LPA,Yes,100%,1-3 hrs,<30 min,Low,Middle,No
Yes,Female,Mechanical,178,66,85,82,60,Gaming,2-4 hrs,Night,5-8 LPA,Yes,25%,1-3 hrs,>2 hrs,Low,Middle,No
Yes,Male,CS,189,64,77,94,66,Music,1-2 hrs,Evening,3-5 LPA,Yes,50%,<1 hr,<30 min,High,Good,Yes
Yes,Male,Civil,178,47,94,59,64,Gaming,2-4 hrs,Evening,3-5 LPA,Yes,75%,3-5 hrs,1-2 hrs,High,Good,No
Yes,Male,ENTC,166,76,88,88,82,Gaming,2-4 hrs,Night,3-5 LPA,Yes,50%,1-3 hrs,<30 min,Medium,Good,No
No,Male,CS,172,67,69,68,80,Music,>4 hrs,Evening,3-5 LPA,Yes,50%,1-3 hrs,30-60 min,High,Middle,Yes
Yes,Male,IT,160,64,90,74,81,Reading,1-2 hrs,Morning,3-5 LPA,Yes,50%,<1 hr,<30 min,High,Poor,No
No,Female,IT,174,66,79,88,64,Music,1-2 hrs,Morning,>8 LPA,No,50%,<1 hr,30-60 min,Medium,Middle,Yes
Yes,Male,CS,173,75,75,63,83,Reading,1-2 hrs,Night,3-5 LPA,Yes,50%,3-5 hrs,30-60 min,Medium,Middle,No
Yes,Female,Mechanical,178,45,62,78,73,Sports,>4 hrs,Morning,<3 LPA,No,100%,1-3 hrs,<30 min,High,Good,No
No,Male,CS,158,47,75,50,82,Reading,1-2 hrs,Evening,<3 LPA,No,50%,<1 hr,<30 min,High,Poor,Yes
No,Female,IT,173,69,79,69,76,Gaming,1-2 hrs,Evening,3-5 LPA,Yes,100%,<1 hr,30-60 min,Medium,Good,No
Yes,Male,ENTC,176,80,73,67,74,Gaming,2-4 hrs,Morning,3-5 LPA,Yes,100%,1-3 hrs,<30 min,High,Middle,No
Yes,Female,ENTC,157,53,55,50,73,Travelling,1-2 hrs,Evening,3-5 LPA,Yes,50%,>5 hrs,30-60 min,High,Middle,No
No,Male,ENTC,184,76,65,70,76,Sports,1-2 hrs,Night,3-5 LPA,No,75%,3-5 hrs,1-2 hrs,Medium,Poor,No
Yes,Female,CS,189,75,64,78,78,Music,1-2 hrs,Morning,3-5 LPA,No,25%,1-3 hrs,1-2 hrs,High,Middle,Yes
No,Male,CS,162,89,82,58,80,Gaming,1-2 hrs,Night,5-8 LPA,Yes,50%,1-3 hrs,30-60 min,Low,Good,No
Yes,Male,IT,167,60,78,72,73,Reading,2-4 hrs,Morning,3-5 LPA,Yes,50%,<1 hr,>2 hrs,Medium,Middle,No
No,Female,ENTC,163,66,59,85,60,Gaming,1-2 hrs,Night,3-5 LPA,Yes,50%,>5 hrs,<30 min,Medium,Good,No
Yes,Male,Civil,179,67,85,82,71,Reading,>4 hrs,Night,3-5 LPA,No,100%,1-3 hrs,30-60 min,Medium,Poor,No
Yes,Male,CS,166,56,89,67,89,Music,1-2 hrs,Morning,3-5 LPA,Yes,100%,1-3 hrs,<30 min,Low,Good,No
No,Female,IT,171,45,81,58,71,Sports,<1 hr,Evening,3-5 LPA,Yes,50%,<1 hr,<30 min,Medium,Middle,No
No,Male,ENTC,162,86,62,61,70,Gaming,2-4 hrs,Night,5-8 LPA,Yes,75%,<1 hr,1-2 hrs,Medium,Middle,No
Yes,Female,ENTC,176,64,63,68,65,Music,2-4 hrs,Morning,<3 LPA,No,75%,1-3 hrs,1-2 hrs,High,Middle,No
Yes,Male,CS,173,67,69,50,75,Gaming,1-2 hrs,Night,3-5 LPA,Yes,50%,1-3 hrs,30-60 min,Medium,Middle,No
No,Female,ENTC,164,60,72,77,65,Gaming,2-4 hrs,Morning,5-8 LPA,No,75%,1-3 hrs,1-2 hrs,High,Middle,No
No,Male,CS,182,71,91,78,74,Gaming,2-4 hrs,Morning,3-5 LPA,Yes,100%,3-5 hrs,<30 min,Medium,Middle,No
Yes,Female,ENTC,160,66,91,64,62,Gaming,1-2 hrs,Night,<3 LPA,Yes,75%,1-3 hrs,<30 min,Medium,Middle,Yes
Yes,Male,CS,166,66,76,76,75,Music,1-2 hrs,Night,5-8 LPA,Yes,50%,<1 hr,30-60 min,Medium,Good,No
No,Female,CS,158,70,58,72,70,Music,2-4 hrs,Morning,3-5 LPA,Yes,75%,1-3 hrs,1-2 hrs,High,Good,Yes
Yes,Female,IT,163,89,91,80,89,Music,1-2 hrs,Evening,3-5 LPA,Yes,100%,1-3 hrs,30-60 min,Medium,Poor,No
Yes,Female,IT,166,89,82,59,84,Music,<1 hr,Morning,<3 LPA,Yes,25%,<1 hr,>2 hrs,Medium,Good,No
Yes,Male,CS,162,63,74,59,63,Music,2-4 hrs,Night,>8 LPA,Yes,50%,1-3 hrs,>2 hrs,Low,Poor,No
Yes,Male,ENTC,168,89,73,78,82,Sports,1-2 hrs,Morning,>8 LPA,Yes,100%,<1 hr,1-2 hrs,Medium,Middle,Yes
Yes,Male,CS,150,59,83,56,69,Gaming,1-2 hrs,Night,3-5 LPA,Yes,50%,<1 hr,<30 min,Low,Middle,Yes
Yes,Female,CS,182,69,69,69,79,Reading,2-4 hrs,Morning,<3 LPA,Yes,50%,<1 hr,1-2 hrs,High,Middle,Yes
Yes,Male,CS,150,89,78,53,78,Travelling,1-2 hrs,Morning,>8 LPA,Yes,25%,>5 hrs,<30 min,Medium,Good,No
Yes,Male,IT,178,59,80,87,81,Sports,<1 hr,Night,5-8 LPA,Yes,100%,1-3 hrs,1-2 hrs,Low,Good,Yes
No,Male,IT,175,76,63,87,89,Gaming,2-4 hrs,Evening,3-5 LPA,Yes,50%,3-5 hrs,<30 min,Medium,Middle,No
Yes,Male,Civil,151,56,75,50,72,Gaming,1-2 hrs,Evening,5-8 LPA,Yes,75%,<1 hr,<30 min,High,Poor,Yes
No,Male,IT,173,56,81,69,70,Music,2-4 hrs,Evening,3-5 LPA,No,75%,1-3 hrs,1-2 hrs,Medium,Poor,Yes
Yes,Male,CS,167,45,74,64,73,Travelling,>4 hrs,Evening,>8 LPA,No,25%,3-5 hrs,30-60 min,Medium,Middle,Yes
Yes,Female,Mechanical,179,74,57,63,75,Reading,1-2 hrs,Night,<3 LPA,Yes,50%,1-3 hrs,30-60 min,High,Middle,No
Yes,Female,Civil,154,68,71,67,83,Gaming,>4 hrs,Evening,3-5 LPA,Yes,50%,1-3 hrs,<30 min,Low,Middle,No
No,Male,Mechanical,185,45,69,69,76,Music,2-4 hrs,Night,<3 LPA,Yes,50%,1-3 hrs,30-60 min,High,Good,No
Yes,Male,CS,183,83,84,79,75,Reading,1-2 hrs,Evening,<3 LPA,Yes,25%,<1 hr,>2 hrs,High,Good,No
Yes,Female,IT,178,63,81,82,72,Reading,2-4 hrs,Morning,<3 LPA,Yes,25%,1-3 hrs,<30 min,High,Middle,No
No,Male,IT,169,45,84,65,69,Travelling,>4 hrs,Evening,>8 LPA,Yes,75%,1-3 hrs,>2 hrs,Medium,Middle,Yes
No,Female,ENTC,174,75,75,67,81,Gaming,1-2 hrs,Morning,<3 LPA,Yes,75%,3-5 hrs,<30 min,Low,Middle,No
Yes,Female,ENTC,161,85,78,64,81,Music,1-2 hrs,Evening,<3 LPA,Yes,50%,1-3 hrs,30-60 min,Medium,Good,Yes
No,Male,IT,177,79,69,84,78,Sports,1-2 hrs,Evening,3-5 LPA,Yes,50%,<1 hr,30-60 min,Low,Middle,Yes
Yes,Female,CS,172,58,85,58,83,Sports,>4 hrs,Morning,3-5 LPA,Yes,25%,<1 hr,30-60 min,Medium,Middle,Yes
Yes,Male,Mechanical,169,81,58,82,78,Sports,1-2 hrs,Night,5-8 LPA,Yes,50%,<1 hr,>2 hrs,Low,Middle,No
Yes,Male,ENTC,170,69,85,59,67,Travelling,1-2 hrs,Morning,>8 LPA,Yes,50%,3-5 hrs,<30 min,Medium,Poor,Yes
Yes,Female,CS,168,72,81,60,76,Gaming,2-4 hrs,Morning,3-5 LPA,Yes,50%,>5 hrs,<30 min,Low,Good,No
Yes,Male,IT,174,69,67,72,89,Sports,<1 hr,Morning,5-8 LPA,No,75%,1-3 hrs,>2 hrs,High,Middle,No
Yes,Female,Civil,152,68,72,63,77,Gaming,<1 hr,Evening,3-5 LPA,No,100%,1-3 hrs,<30 min,Medium,Middle,No
No,Male,IT,173,70,77,70,82,Sports,1-2 hrs,Evening,3-5 LPA,Yes,50%,3-5 hrs,1-2 hrs,Low,Good,No
Yes,Female,ENTC,173,73,75,72,87,Reading,2-4 hrs,Night,5-8 LPA,Yes,75%,>5 hrs,<30 min,High,Good,Yes
Yes,Male,Civil,156,79,92,50,73,Reading,1-2 hrs,Morning,3-5 LPA,Yes,50%,>5 hrs,<30 min,High,Middle,Yes
Yes,Male,IT,163,60,77,76,78,Travelling,1-2 hrs,Night,>8 LPA,Yes,100%,<1 hr,<30 min,Medium,Middle,No
Yes,Male,ENTC,185,79,87,70,71,Music,>4 hrs,Morning,>8 LPA,No,75%,3-5 hrs,30-60 min,High,Middle,No
Yes,Male,Mechanical,164,58,85,68,74,Music,1-2 hrs,Evening,3-5 LPA,Yes,75%,<1 hr,1-2 hrs,High,Good,No
No,Male,IT,150,89,72,81,65,Reading,<1 hr,Evening,<3 LPA,Yes,100%,<1 hr,<30 min,High,Good,No
No,Male,CS,152,69,69,66,72,Sports,1-2 hrs,Evening,5-8 LPA,Yes,75%,1-3 hrs,30-60 min,High,Middle,No
Yes,Male,Mechanical,162,76,77,80,89,Gaming,1-2 hrs,Morning,<3 LPA,Yes,50%,1-3 hrs,1-2 hrs,High,Middle,No
Yes,Male,Civil,173,89,59,70,69,Gaming,<1 hr,Morning,5-8 LPA,Yes,75%,<1 hr,<30 min,Medium,Good,No
No,Male,Mechanical,177,45,77,86,67,Sports,<1 hr,Morning,3-5 LPA,Yes,50%,>5 hrs,<30 min,Low,Good,No
No,Female,IT,189,71,67,83,67,Music,<1 hr,Night,3-5 LPA,Yes,50%,1-3 hrs,30-60 min,Low,Poor,Yes
Yes,Male,ENTC,164,68,86,70,86,Gaming,1-2 hrs,Night,<3 LPA,Yes,50%,<1 hr,1-2 hrs,Medium,Middle,Yes
Yes,Male,IT,184,74,75,50,76,Reading,2-4 hrs,Night,<3 LPA,Yes,50%,>5 hrs,>2 hrs,High,Middle,No
No,Male,CS,160,72,70,83,88,Music,2-4 hrs,Evening,3-5 LPA,No,50%,1-3 hrs,>2 hrs,Medium,Good,No
No,Female,CS,185,63,67,50,69,Gaming,2-4 hrs,Morning,3-5 LPA,No,75%,>5 hrs,1-2 hrs,High,Middle,Yes
No,Male,CS,178,58,81,84,60,Reading,2-4 hrs,Night,3-5 LPA,Yes,50%,1-3 hrs,<30 min,Low,Middle,No
No,Male,ENTC,179,88,79,60,89,Gaming,1-2 hrs,Morning,3-5 LPA,Yes,75%,1-3 hrs,<30 min,High,Good,No
Yes,Male,CS,167,70,65,76,83,Reading,<1 hr,Morning,5-8 LPA,Yes,75%,>5 hrs,>2 hrs,High,Middle,Yes
No,Female,CS,155,45,84,86,81,Music,>4 hrs,Night,3-5 LPA,Yes,75%,1-3 hrs,1-2 hrs,High,Good,Yes
Yes,Male,CS,151,46,66,74,74,Gaming,2-4 hrs,Night,<3 LPA,No,75%,1-3 hrs,<30 min,Low,Good,No
Yes,Female,IT,150,87,78,65,74,Gaming,1-2 hrs,Evening,<3 LPA,Yes,50%,1-3 hrs,<30 min,Low,Middle,No
Yes,Male,CS,163,64,75,76,66,Sports,>4 hrs,Morning,5-8 LPA,Yes,100%,<1 hr,>2 hrs,High,Good,No
No,Male,ENTC,171,60,69,94,60,Music,<1 hr,Morning,5-8 LPA,Yes,25%,<1 hr,<30 min,High,Middle,Yes
No,Male,CS,170,70,70,50,69,Music,1-2 hrs,Evening,5-8 LPA,No,100%,3-5 hrs,30-60 min,Medium,Middle,Yes
Yes,Female,ENTC,189,63,80,74,82,Reading,<1 hr,Night,5-8 LPA,Yes,75%,<1 hr,30-60 min,Low,Middle,Yes
No,Male,CS,173,67,90,92,86,Reading,<1 hr,Morning,3-5 LPA,No,25%,<1 hr,30-60 min,High,Middle,No
No,Male,CS,185,62,79,88,66,Reading,2-4 hrs,Morning,3-5 LPA,Yes,50%,3-5 hrs,30-60 min,Medium,Poor,No
No,Male,Mechanical,161,72,62,68,68,Sports,>4 hrs,Morning,3-5 LPA,Yes,25%,1-3 hrs,>2 hrs,Low,Poor,No
Yes,Female,IT,179,68,62,83,77,Gaming,2-4 hrs,Night,3-5 LPA,No,25%,1-3 hrs,30-60 min,Medium,Middle,Yes
No,Male,IT,156,68,60,77,75,Travelling,1-2 hrs,Night,3-5 LPA,Yes,75%,1-3 hrs,30-60 min,Low,Middle,Yes
Yes,Male,ENTC,189,82,69,54,80,Sports,>4 hrs,Night,<3 LPA,Yes,50%,1-3 hrs,<30 min,High,Middle,Yes
Yes,Male,CS,157,84,73,94,67,Gaming,2-4 hrs,Morning,<3 LPA,Yes,25%,1-3 hrs,30-60 min,High,Middle,Yes
No,Female,CS,185,63,88,80,76,Music,1-2 hrs,Night,<3 LPA,No,50%,>5 hrs,>2 hrs,Low,Middle,No
No,Male,CS,174,89,94,68,85,Gaming,1-2 hrs,Night,5-8 LPA,No,25%,1-3 hrs,1-2 hrs,High,Good,Yes
Yes,Male,CS,164,58,73,64,74,Gaming,<1 hr,Night,<3 LPA,Yes,75%,1-3 hrs,1-2 hrs,Low,Good,No
Yes,Female,IT,176,45,73,85,73,Gaming,2-4 hrs,Morning,>8 LPA,No,100%,3-5 hrs,<30 min,Medium,Good,Yes
Yes,Male,Mechanical,163,72,84,83,76,Music,1-2 hrs,Morning,3-5 LPA,Yes,75%,3-5 hrs,1-2 hrs,High,Middle,Yes
No,Male,IT,163,89,94,50,60,Reading,1-2 hrs,Morning,<3 LPA,Yes,100%,3-5 hrs,<30 min,Low,Middle,No
Yes,Male,Mechanical,170,75,84,62,75,Travelling,2-4 hrs,Night,3-5 LPA,Yes,75%,3-5 hrs,<30 min,Medium,Middle,No
Yes,Female,IT,156,53,77,74,77,Reading,>4 hrs,Evening,5-8 LPA,Yes,25%,1-3 hrs,1-2 hrs,High,Middle,No
No,Male,Civil,152,70,92,50,73,Music,2-4 hrs,Evening,5-8 LPA,Yes,25%,1-3 hrs,1-2 hrs,Medium,Good,No
No,Female,CS,189,89,72,56,75,Music,>4 hrs,Evening,3-5 LPA,No,50%,1-3 hrs,<30 min,High,Middle,No
Yes,Female,IT,180,45,67,85,89,Music,<1 hr,Morning,<3 LPA,Yes,100%,3-5 hrs,1-2 hrs,Medium,Middle,Yes
Yes,Male,ENTC,172,59,73,75,75,Music,>4 hrs,Morning,3-5 LPA,Yes,100%,<1 hr,<30 min,Medium,Poor,Yes
Yes,Female,Mechanical,159,45,94,75,80,Gaming,1-2 hrs,Night,<3 LPA,Yes,75%,>5 hrs,<30 min,Low,Middle,No
Yes,Female,CS,182,67,71,89,70,Travelling,2-4 hrs,Night,5-8 LPA,Yes,50%,>5 hrs,1-2 hrs,Medium,Middle,No
No,Male,IT,159,81,94,50,74,Sports,>4 hrs,Night,<3 LPA,Yes,75%,3-5 hrs,30-60 min,High,Good,No
No,Male,CS,171,61,87,91,74,Gaming,2-4 hrs,Night,3-5 LPA,No,50%,3-5 hrs,<30 min,Medium,Poor,Yes
No,Male,IT,184,60,81,62,81,Music,2-4 hrs,Morning,<3 LPA,Yes,75%,<1 hr,<30 min,High,Middle,No
Yes,Female,IT,177,66,71,73,66,Travelling,2-4 hrs,Morning,3-5 LPA,No,50%,3-5 hrs,<30 min,Medium,Middle,No
Yes,Male,ENTC,183,58,94,80,74,Reading,2-4 hrs,Evening,5-8 LPA,Yes,75%,1-3 hrs,30-60 min,High,Poor,Yes
No,Male,IT,189,64,80,56,89,Travelling,1-2 hrs,Evening,3-5 LPA,No,75%,<1 hr,<30 min,Medium,Middle,No
No,Male,CS,156,50,93,83,79,Music,1-2 hrs,Morning,3-5 LPA,Yes,75%,1-3 hrs,30-60 min,Medium,Poor,No
Yes,Male,CS,189,62,94,50,67,Reading,1-2 hrs,Morning,3-5 LPA,Yes,75%,1-3 hrs,<30 min,Medium,Good,No
No,Male,ENTC,169,64,55,89,79,Travelling,1-2 hrs,Morning,5-8 LPA,Yes,75%,1-3 hrs,1-2 hrs,Medium,Middle,No
No,Male,CS,178,45,80,73,66,Reading,1-2 hrs,Night,5-8 LPA,No,100%,1-3 hrs,<30 min,Medium,Middle,Yes
Yes,Male,ENTC,181,88,71,82,66,Gaming,2-4 hrs,Evening,<3 LPA,Yes,25%,<1 hr,>2 hrs,Low,Middle,No
Yes,Male,Mechanical,177,51,65,74,78,Gaming,2-4 hrs,Evening,5-8 LPA,Yes,50%,1-3 hrs,1-2 hrs,Medium,Middle,No
Yes,Female,ENTC,172,75,72,50,77,Sports,1-2 hrs,Night,3-5 LPA,No,25%,3-5 hrs,>2 hrs,High,Poor,Yes
Yes,Male,CS,177,64,85,85,80,Gaming,2-4 hrs,Morning,<3 LPA,Yes,100%,1-3 hrs,1-2 hrs,Low,Middle,No
Yes,Male,CS,156,49,61,87,64,Reading,1-2 hrs,Morning,3-5 LPA,No,50%,3-5 hrs,>2 hrs,Medium,Middle,Yes
Yes,Male,CS,184,85,66,61,75,Gaming,2-4 hrs,Morning,5-8 LPA,Yes,50%,<1 hr,<30 min,Medium,Middle,No
Yes,Male,IT,173,58,55,66,74,Gaming,1-2 hrs,Evening,5-8 LPA,Yes,75%,>5 hrs,1-2 hrs,High,Middle,Yes
Yes,Male,IT,165,45,70,70,73,Travelling,<1 hr,Evening,3-5 LPA,Yes,50%,>5 hrs,1-2 hrs,High,Poor,No
Yes,Female,ENTC,154,57,86,62,82,Music,2-4 hrs,Morning,5-8 LPA,Yes,75%,1-3 hrs,1-2 hrs,High,Good,No
No,Male,IT,161,83,63,69,67,Gaming,2-4 hrs,Evening,<3 LPA,Yes,100%,3-5 hrs,<30 min,Medium,Middle,No
No,Male,CS,181,80,92,50,72,Travelling,2-4 hrs,Evening,3-5 LPA,Yes,75%,1-3 hrs,<30 min,Low,Good,No
No,Female,ENTC,186,76,71,86,81,Travelling,2-4 hrs,Night,5-8 LPA,Yes,100%,3-5 hrs,<30 min,High,Poor,Yes
No,Male,Civil,178,83,72,65,83,Gaming,2-4 hrs,Morning,5-8 LPA,No,50%,1-3 hrs,>2 hrs,High,Middle,No
Yes,Female,ENTC,153,72,65,61,72,Music,1-2 hrs,Night,3-5 LPA,Yes,50%,1-3 hrs,1-2 hrs,Medium,Good,No
No,Male,CS,158,66,91,70,60,Reading,1-2 hrs,Night,3-5 LPA,No,75%,>5 hrs,1-2 hrs,High,Middle,No
Yes,Female,CS,163,50,86,79,76,Travelling,>4 hrs,Morning,3-5 LPA,No,50%,3-5 hrs,30-60 min,Low,Middle,No
No,Male,IT,175,67,70,76,63,Music,2-4 hrs,Evening,3-5 LPA,Yes,50%,>5 hrs,30-60 min,Medium,Middle,Yes
No,Male,ENTC,189,62,55,83,60,Gaming,<1 hr,Night,5-8 LPA,No,50%,3-5 hrs,>2 hrs,Low,Poor,Yes
